class,hash,time,token,type,from,to,USDAmount,priority,fee
TRANSFER,0x35a22fd947e269348331041a2b0bbb019a00b0941d0ae9e8b64c17799b2f0fcc,1735431830413,USDC,InternalTransfer,PERP,SPOT,989933.43,0,0
DEPOSIT,0x72a354409e556562c7f8c1aad7bffca3af545a63ec6ba3c2b5f91c283bbcc028,1735431812724,USDC,Deposit,Arbitrum,0xaf297dec752c909092a117a932a8ca4aaaff9795,989933.43,0,0
FAILED,0xb98d4d03e1811a103416041a2b0af7010200dee762b93e7366e9f846c4fecf68,1735431812724,-,VoteEthDepositAction,0xaf297dec752c909092a117a932a8ca4aaaff9795,Deposit has already been credited.,-,-1,0
TRANSFER,0x3b7eacc5380e70c717fa041a2b08360188006cbe17f71af9de9a7acadc2045e9,1735431749428,USDC,InternalTransfer,PERP,SPOT,900000.31,0,0
DEPOSIT,0x4bf5726876cf40e9d4b19e49a7ccb170a07547b262d94f95bdeda78f4399555a,1735431734414,USDC,Deposit,Arbitrum,0xaf297dec752c909092a117a932a8ca4aaaff9795,900000,0,0
FAILED,0x4d130af6da20ced2faf2041a2b078f0103009c8a7e8e90110e6833cd401912ca,1735431734414,-,VoteEthDepositAction,0xaf297dec752c909092a117a932a8ca4aaaff9795,Deposit has already been credited.,-,-1,0
PERP,0xd2a7311dbd0e74ce4965041a273313019900019d7f7a3875bcd079b20be5238b,1735409243945,ETH-USD,Open Long,0xffffffffffffffffffffffffffffffffffffffff,0xaf297dec752c909092a117a932a8ca4aaaff9795,21615.84792,0,0
PERP,0xb232af8f742bcd11078b041a272fa8020156009f39a0a64ae71a7a7712b486ca,1735409166322,ETH-USD,Close Long,0xaf297dec752c909092a117a932a8ca4aaaff9795,0xffffffffffffffffffffffffffffffffffffffff,-21628.140170000002,0,0
PERP,0x7bd11d85789c945032f9041a272e6f018a007ab3e11f0383fbb949bcfa1c521c,1735409137263,ETH-USD,Open Long,0xffffffffffffffffffffffffffffffffffffffff,0xaf297dec752c909092a117a932a8ca4aaaff9795,13212.42813,0,0
TRANSFER,0x588d38fe87261e539c44041a272d0401b100e7cf8a6be277d702bc5c994a0c09,1735409105605,USDC,InternalTransfer,SPOT,PERP,21639.33,0,0
TRANSFER,0xa7c015019d1ffb733250041a272a8e0201f600bbf0824ea18ceaeeaf1208565b,1735409049434,USDC,InternalTransfer,PERP,SPOT,21639.31,0,0
PERP,0x0a7156b263f1f3ae209b041a27278501b600fe7c8b9b817e27079388e4c23df3,1735408979980,BTC-USD,Open Long,0xffffffffffffffffffffffffffffffffffffffff,0xaf297dec752c909092a117a932a8ca4aaaff9795,4810.2784,0,0
DEPOSIT,0x7f6b0d2501733bcf6580b8dfef4f9244d7932afc830f14f6ca9f1a54b141b1e0,1735408823935,USDC,Deposit,Arbitrum,0xaf297dec752c909092a117a932a8ca4aaaff9795,22640.26,0,0
TRANSFER,0xb0fea694b4d458b7891b041a1d09e3019f007e803d495480c5f0355053c26ed4,1735348912997,USDC,InternalTransfer,PERP,SPOT,1497582.95,0,0
DEPOSIT,0x1d6e421651ab80f2e71d8a6ea9f67b6bfcb51ebd3169d4b7f1be4d2e36ba5c59,1735348901563,USDC,Deposit,Arbitrum,0xaf297dec752c909092a117a932a8ca4aaaff9795,1497582.95,0,0
FAILED,0x531b4ac964e185861231041a1d0966010f00a25317acf24d7c61f2b9bba89d7f,1735348901563,-,VoteEthDepositAction,0xaf297dec752c909092a117a932a8ca4aaaff9795,Deposit has already been credited.,-,-1,0
TRANSFER,0xd08309fabacd32cd0b20041a1bdd34012000b231ea7b3543bd43df7badb8d0d3,1735342041038,USDC,InternalTransfer,PERP,SPOT,1755790.84,0,0
DEPOSIT,0x86c31d672c7caedfdf4cce8d38556596264c3814d843d857cb7f98fee05c7be4,1735342023744,USDC,Deposit,Arbitrum,0xaf297dec752c909092a117a932a8ca4aaaff9795,1755790.84,0,0
FAILED,0x27505432960822b45fe8041a1bdc6e0108004dbe8ba72a072f3180e39542d196,1735342023744,-,VoteEthDepositAction,0xaf297dec752c909092a117a932a8ca4aaaff9795,Deposit has already been credited.,-,-1,0
TRANSFER,0x51f720fd005dfcf8b357041a0f569101aa000b9be8fae0a994efce3f25b8a0c9,1735267527958,USDC,InternalTransfer,PERP,SPOT,952170.07,0,0
DEPOSIT,0x1fdbb6cb53d341ff47a4a81fc6a079b8048b8dd226b9c7f48469d3e7010245ff,1735267439103,USDC,Deposit,Arbitrum,0xaf297dec752c909092a117a932a8ca4aaaff9795,952170.07,0,0
FAILED,0x3ef52cae88cb3ce2268c041a0f52d10102008211934d04af18d8e503f9c61348,1735267439103,-,VoteEthDepositAction,0xaf297dec752c909092a117a932a8ca4aaaff9795,Deposit has already been credited.,-,-1,0
TRANSFER,0xabdb9b369c3332179797041a0df0c8016400f9d3824c48a635e2373d743d9d79,1735259104073,USDC,InternalTransfer,PERP,SPOT,499395.58,0,0
DEPOSIT,0x569d233c6140ec262b440e467153b2f308186e86bd4cca1fe573447745e6ea50,1735259088077,USDC,Deposit,Arbitrum,0xaf297dec752c909092a117a932a8ca4aaaff9795,499395.58,0,0
