class,hash,time,token,type,amount,from,to,fee,USDAmount,priority
SPOT,0x3c39eac5ff05c03ea265041895cd7a01a300acde94115db10a0c1c9c1b6e8f16,1733512447092,HYPE,Buy,2,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,27.086,0
SPOT,0x18e6f8d68595c8d400e8041895cd6401d100452431fdee9617018643990f6fae,1733512445688,HYPE,Buy,1,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,13.543,0
SPOT,0xdb89a087c7d23b70dc36041895cd3701de00d6515aa6ef10f2434dc3621df1e6,1733512442850,HYPE,Buy,12.41,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,168.06862999999998,0
SPOT,0xa03c96cf4b142fcf9aa0041895cd2a01ea006c3085fafb4e507f9cc111cc34f3,1733512442047,HYPE,Buy,1,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,13.543,0
SPOT,0x5b20bb9adb874040f8cd041895cd0701b30072d36d34b7944610cbf3c5e7bb8e,1733512439185,HYPE,Buy,22.75,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,308.10325,0
SPOT,0x25ab870d2fc3d02997f5041895ccfb016f009b49c68eeb4c7eb40bf7c683cb4d,1733512438389,HYPE,Buy,22.07,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,298.89401,0
SPOT,0xe0a33d1740d80d6519df041895cca8019c001b220f96e2e212cfa3f90f6a14ed,1733512433119,HYPE,Buy,91.63,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,412.51977999999997,0
SPOT,0xd78eebb0557f9cd1db9e04189492610201360052a308edb00d8698e5cdb721b9,1733507351716,HYPE,Buy,1167.06,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,6171.69384,0
SPOT,0xdeb941349496a70db5dd041894763a01bf00e249969a5a7ca2919a7fb7254872,1733506898350,HYPE,Buy,135.53,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,1883.867,0
SPOT,0x1895898ae60f5c58e7ea041894762d01da0049442517153eaedd6e70ede3dd61,1733506897545,HYPE,Buy,169.98,0xffffffffffffffffffffffffffffffffffffffff,0x99967871e6c4f9a5185abc57edede9e9540191f6,0,2362.7219999999998,0
