wallet,time,action_type,from,to,token,amount,hash
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},81.66,0x5d24a111f6340c7263a3042710f5180203b900fdc58c0446bffba3e9f0dd90d1
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},15.0,0x51aac3b1dd2b99c5b518042710f5180203b80048f2d993058f4fe7e8bbb4d269
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},0.33,0x40e9355f1bdfc54a4c2f042710f5180203b7008130f6dfa5f246585380250b8c
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},15.0,0x46c96d5f00b928aabc65042710f5180203b6005bdefcdc7c699a5ca08240a355
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},3.32,0xd7dff38f367568c39881042710f5180203b50015a8a53d54d7acb2488d639147
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},15.0,0x42db1817ba4622afee6c042710f5180203b4009310324389c328395bd0dc907d
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,cancelByCloid,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,,0.0,0xc97acffa60020c589c4f042710f515020514001041ab58dd650c71ee7f656b3b
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},131.93,0xd541b8a6a7b6ac6c04e7042710f50f02014500ba82ed7098d36417ed0bb60001
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,cancelByCloid,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,,0.0,0x9d7e7c172bf023d17f84042710f5020156001145f24468dba99b067e378d2295
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},131.93,0x34efb5ad81e2ee9f7507042710f4f801ea00f0ce48e97cc2aaebd55d5fdbfbba
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},9.84,0x3dea77125b31bc223d79042710f4e202018a008bf5e7dfe9eda60528e226d405
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},0.64,0x45ba8187427b1699540f042710f4e2020189000fb57a980a3d3cbae6ff347de7
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},2.71,0x49e9122fcfdfa9469dca042710f4e20201880025185a939c19ee9cbd246d94b8
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},13.19,0x890962eff43247fc17e9042710f4e202018700c763838885c8875f294c57e804
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Sell),{'limit': {'tif': 'Gtc'}},26.38,0xf8472d76afde01789009042710f4d801b1008f37c7da02dc422a783700bb2188
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,6 hours ago,order,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,Market (Buy),{'limit': {'tif': 'Gtc'}},26.39,0xf45d43b963647a04c507042710f4c901bb000bf10a07de38dc1b8bdbffac5c2b
