Date,CEX,DEX
2025-03-13,58068383253.0,8374119547.65
2025-03-14,53762406604.06,7288523003.61
2025-03-15,44253927585.3,6287636761.17
2025-03-16,24676448647.33,3253755658.05
2025-03-17,36854728061.0,6522127735.59
2025-03-18,40904318181.68,7524761420.2
2025-03-19,41686268012.65,6508209940.6
2025-03-20,64997659125.13,10164341851.18
2025-03-21,58899518779.83,6614339105.99
2025-03-22,42003910054.27,5510448397.87
2025-03-23,26030869224.19,3035185599.07
2025-03-24,46437365894.58,6164034321.67
2025-03-25,56016184493.88,7079900133.16
2025-03-26,52972464480.56,6077910307.56
2025-03-27,52499235960.98,7209761879.82
2025-03-28,58118810743.9,6850467525.35
2025-03-29,58741429553.48,6444590687.02
2025-03-30,41354496672.82,4562170834.47
2025-03-31,41833072334.5,6244182034.18
2025-04-01,55922690846.76,7338037759.63
2025-04-02,57593853931.56,7436711028.13
2025-04-03,90218798081.73,12919664605.36
2025-04-04,62431447833.35,9080101094.24
2025-04-05,67373860394.57,9348748678.15
2025-04-06,28155574358.0,3678300554.29
2025-04-07,84435069463.58,17556629807.88
2025-04-08,112258907166.35,13401524651.17
2025-04-09,79032294139.12,13371407078.0
2025-04-10,95660262818.39,14717143266.13
2025-04-11,66932288257.61,10880361143.72
2025-04-12,57552103355.18,7539126331.04
2025-04-13,53756350726.52,7566184683.71
2025-04-14,60163235749.47,10886504162.27
2025-04-15,55832164099.5,8362743090.58
2025-04-16,53176460648.13,9126984767.99
2025-04-17,54495433650.74,9711265330.83
2025-04-18,41827104965.1,6424070192.09
2025-04-19,27505391998.06,4029296723.29
2025-04-20,28572696324.65,1524324431.86
2025-04-21,44882814835.69,6260241866.81
2025-04-22,53059809972.29,9199362850.92
2025-04-23,76308787960.26,15338138316.08
2025-04-24,67618947843.51,11586177298.34
2025-04-25,61389774849.35,9033063815.22
2025-04-26,68772734764.42,10385055433.1
2025-04-27,43681056990.36,5857085898.87
2025-04-28,44766324548.19,7270220010.61
2025-04-29,57980347040.32,8842636097.4
2025-04-30,49741792809.34,7560611181.88
2025-05-01,53689022380.29,9983641174.03
2025-05-02,52559330032.51,8390538461.77
2025-05-03,42936524006.93,5969928381.71
2025-05-04,31496887686.81,4732290141.49
2025-05-05,35124627538.34,6583378781.35
2025-05-06,40426634541.51,6373834842.28
2025-05-07,53392435827.92,8923944935.88
2025-05-08,94388013322.27,11011101753.39
2025-05-09,91746815236.23,19621125106.65
2025-05-10,88319960481.43,12285512992.11
2025-05-11,74908156218.98,12247587018.7
2025-05-12,67530544230.53,13398816111.63
2025-05-13,98862137587.0,16325469867.61
2025-05-14,78860991212.58,16689564462.88
2025-05-15,64011116233.37,12046854642.77
2025-05-16,71372510379.06,14277236888.26
2025-05-17,56561850255.5,12438621240.23
2025-05-18,36269907274.34,8933535540.24
2025-05-19,74124246286.79,19884836608.54
2025-05-20,62623608870.28,15826534857.84
2025-05-21,58667783601.15,19358860684.99
2025-05-22,100118667381.31,32151166446.24
2025-05-23,72683910739.17,21415848017.42
2025-05-24,79281729742.23,23927080291.89
2025-05-25,38196861781.95,17829557843.79
2025-05-26,42793686576.58,17866451529.94
2025-05-27,45973122504.32,20516716112.38
2025-05-28,57616526998.57,22050651728.7
2025-05-29,58105417863.06,22473821193.93
2025-05-30,65114545832.34,25417714871.83
2025-05-31,66107992894.02,21629741782.82
2025-06-01,30912835151.42,14057171974.64
2025-06-02,32436315582.82,16717852535.67
2025-06-03,46808708088.1,19448784867.56
2025-06-04,42733794329.73,18975300006.66
2025-06-05,41269747541.83,17960544103.3
2025-06-06,76539268084.99,25255220060.33
2025-06-07,45841209798.48,17113046571.12
2025-06-08,31213293992.2,12884090963.68
2025-06-09,37677639731.87,16158272212.85
2025-06-10,75175444504.65,21055100631.51
2025-06-11,69232417664.94,24356398174.33
2025-06-12,71839416239.89,25783917527.65
2025-06-13,79746783677.57,31930617391.92
2025-06-14,59394272421.61,20910017946.06
2025-06-15,35198135548.06,16972221787.42
2025-06-16,45677964926.44,13195556979.79
2025-06-17,64897322549.87,18322443571.99
2025-06-18,64313727126.93,21055079616.29
2025-06-19,60989362068.18,18190017023.91
2025-06-20,41653013803.82,15026066725.79
2025-06-21,64312569190.67,17102311644.69
2025-06-22,56815092790.5,17634817928.89
2025-06-23,70904327859.11,21677269936.97
2025-06-24,89650368552.75,27118260007.73
2025-06-25,50352252469.98,15811773097.56
2025-06-26,48830091239.5,15980797574.83
2025-06-27,43353021012.17,14864137042.35
2025-06-28,37003032219.84,12007539202.3
2025-06-29,21778527722.33,9675826231.27
2025-06-30,35725089688.73,15685006479.81
2025-07-01,44191939827.46,14485841844.5
2025-07-02,44855831520.63,15637756039.63
2025-07-03,63406413196.25,18065960395.89
2025-07-04,54053866647.11,15316062654.67
2025-07-05,40488058007.8,12444635259.47
2025-07-06,21194267900.49,8712072638.91
2025-07-07,41437783970.82,12941036236.01
2025-07-08,47285723697.06,14107870776.7
2025-07-09,45765874332.33,13093630035.26
2025-07-10,81209541930.47,19368634927.0
2025-07-11,107916304795.11,25525143429.38
2025-07-12,90932289141.42,17456876057.34
2025-07-13,48116100305.93,12274196886.47
2025-07-14,85283897546.48,20292782103.87
2025-07-15,99343127746.05,23507181859.04
2025-07-16,94312716149.17,25765674200.86
2025-07-17,104751673707.91,27677190798.72
2025-07-18,124021730024.24,30726595532.87
2025-07-19,110418394218.55,23079177300.83
2025-07-20,61506410202.1,15350173901.89
2025-07-21,101326932048.2,24213896500.29
2025-07-22,117029403760.91,30205561447.74
2025-07-23,102065903408.64,21040864375.35
2025-07-24,113686084158.1,25287807527.62
2025-07-25,113946527471.36,26861364065.21
2025-07-26,86778454540.23,15929883586.49
2025-07-27,49497671651.9,11314819718.8
2025-07-28,70890118055.64,16365216213.65
2025-07-29,83183981231.36,21554147155.64
2025-07-30,77603655123.28,17566611837.47
2025-07-31,82721373623.24,18337554989.99
2025-08-01,91498083404.59,23476194538.05
