snapped_at,lhype-usd-max,purr-usd-max,hl-usd-max,usdt0-usd-max,wgc-usd-max,ubtc-usd-max,ush-usd-max,rusdc-hyper-usd-max,usde-usd-max,licko-usd-max,xaut0-usd-max,kitten-usd-max,usdxl-usd-max,sthype-usd-max,kei-usd-max,feusd-usd-max,whlp-usd-max,hfun-usd-max,pip-usd-max,buddy-usd-max,ueth-usd-max,hwhlp-usd-max,liqd-usd-max,whype-usd-max
2024-08-11 00:00:00+00:00,,598595393.4898403,,,17991888423.37288,,,,,,,,,,,,,990288.1448073335,,,,,,
2024-08-12 00:00:00+00:00,,598592851.2475804,,,17881663522.39208,,,,,,,,,,,,,997738.85936178,,,,,,
2024-08-13 00:00:00+00:00,,601086320.8620086,,,18016999224.402874,,,,,,,,,,,,,979568.070742258,,,,,,
2024-08-14 00:00:00+00:00,,598586278.5126799,,,18055596820.449986,,,,,,,,,,,,,1008067.1685220784,,,,,,
2024-08-15 00:00:00+00:00,,598583094.37788,,,18000000000.0,,,,,,,,,,,,,994758.1560899244,,,,,,
2024-08-16 00:00:00+00:00,,606353766.1376121,,,17998401197.711243,,,,,,,,,,,,,997719.0531538898,,,,,,
2024-08-17 00:00:00+00:00,,602787638.6639782,,,18000000000.0,,,,,,,,,,,,,1020010.0893390484,,,,,,
2024-08-18 00:00:00+00:00,,598572939.2728201,,,17905458926.373608,,,,,,,,,,,,,1018572.0021860949,,,,,,
2024-08-19 00:00:00+00:00,,598569551.6090304,,,17960180394.20456,,,,,,,,,,,,,998432.5284933472,,,,,,
2024-08-20 00:00:00+00:00,,598565176.20224,,,17999999999.999996,,,,,,,,,,,,,997694.8711052,,,,,,
2024-08-21 00:00:00+00:00,,597226831.2659464,,,18000000000.0,,,,,,,,,,,,,994543.2603844266,,,,,,
2024-08-22 00:00:00+00:00,,598558386.0160301,,,18017418687.2006,,,,,,,,,,,,,997681.7168797301,,,,,,
2024-08-23 00:00:00+00:00,,601525455.3630246,,,17999912783.229595,,,,,,,,,,,,,994590.3450803433,,,,,,
2024-08-24 00:00:00+00:00,,598550739.92211,,,17981708721.067314,,,,,,,,,,,,,991382.8101811717,,,,,,
2024-08-25 00:00:00+00:00,,598547584.69113,,,18099840944.99997,,,,,,,,,,,,,997649.5939140099,,,,,,
2024-08-26 00:00:00+00:00,,598544258.6361804,,,18015762565.482327,,,,,,,,,,,,,997645.1697589096,,,,,,
2024-08-27 00:00:00+00:00,,591484360.6900517,,,17971330433.427624,,,,,,,,,,,,,1003448.5148112858,,,,,,
2024-08-28 00:00:00+00:00,,598537350.62014,,,17859988682.74316,,,,,,,,,,,,,997631.3738687303,,,,,,
2024-08-29 00:00:00+00:00,,598532569.11669,,,18140847443.645966,,,,,,,,,,,,,997622.9083942499,,,,,,
2024-08-30 00:00:00+00:00,,598530003.1192405,,,17978340157.218067,,,,,,,,,,,,,997614.1270207902,,,,,,
2024-08-31 00:00:00+00:00,,598523181.56062,,,18000000000.000004,,,,,,,,,,,,,997607.0375128799,,,,,,
2024-09-01 00:00:00+00:00,,599433936.6902422,,,18005693602.530502,,,,,,,,,,,,,997603.9589068299,,,,,,
2024-09-02 00:00:00+00:00,,598512483.6919504,,,17986319687.1116,,,,,,,,,,,,,997598.4796705798,,,,,,
2024-09-03 00:00:00+00:00,,598508497.2896105,,,17950971524.164192,,,,,,,,,,,,,997595.3977928199,,,,,,
2024-09-04 00:00:00+00:00,,598504440.3754,,,18071228357.761166,,,,,,,,,,,,,997591.7145513404,,,,,,
2024-09-05 00:00:00+00:00,,598499322.1872299,,,17774316658.506252,,,,,,,,,,,,,997588.3519898197,,,,,,
2024-09-06 00:00:00+00:00,,598496079.22294,,,17991684167.596516,,,,,,,,,,,,,1003141.2297681937,,,,,,
2024-09-07 00:00:00+00:00,,598489926.9073205,,,18027534242.760693,,,,,,,,,,,,,997578.3657528502,,,,,,
2024-09-08 00:00:00+00:00,,598000558.4763253,,,18044984202.443756,,,,,,,,,,,,,997575.5404990604,,,,,,
2024-09-09 00:00:00+00:00,,598484306.7995499,,,17960685284.65561,,,,,,,,,,,,,993328.8378451543,,,,,,
2024-09-10 00:00:00+00:00,,598479558.50152,,,18000000000.0,,,,,,,,,,,,,1008979.9608087146,,,,,,
2024-09-11 00:00:00+00:00,,598475551.1954299,,,17994773740.95695,,,,,,,,,,,,,997561.6825963401,,,,,,
2024-09-12 00:00:00+00:00,,599716438.0535985,,,18002495732.19206,,,,,,,,,,,,,1000847.343492399,,,,,,
2024-09-13 00:00:00+00:00,,587859485.7868727,,,18002624028.74881,,,,,,,,,,,,,997552.0665288696,,,,,,
2024-09-14 00:00:00+00:00,,598458605.41588,,,18011628029.290672,,,,,,,,,,,,,991104.1384739571,,,,,,
2024-09-15 00:00:00+00:00,,598454076.88353,,,18002638345.857494,,,,,,,,,,,,,997544.5742506202,,,,,,
2024-09-16 00:00:00+00:00,,598451396.4175504,,,17984161879.32308,,,,,,,,,,,,,997540.1713456999,,,,,,
2024-09-17 00:00:00+00:00,,595452766.338072,,,18006267573.595314,,,,,,,,,,,,,997535.2820144502,,,,,,
2024-09-18 00:00:00+00:00,,598444558.4566605,,,18003674037.307858,,,,,,,,,,,,,997531.0771564003,,,,,,
2024-09-19 00:00:00+00:00,,598439269.35557,,,17960228606.056515,,,,,,,,,,,,,997527.2262299703,,,,,,
2024-09-20 00:00:00+00:00,,595645063.57531,,,17994894908.15502,,,,,,,,,,,,,992869.3412089557,,,,,,
2024-09-21 00:00:00+00:00,,598430007.9565203,,,17985914975.818775,,,,,,,,,,,,,997518.5885060698,,,,,,
2024-09-22 00:00:00+00:00,,597768885.8381821,,,18009721026.039608,,,,,,,,,,,,,997512.8902667398,,,,,,
2024-09-23 00:00:00+00:00,,598420519.8669399,,,18000000000.0,,,,,,,,,,,,,1037154.8606863682,,,,,,
2024-09-24 00:00:00+00:00,,598477906.7154264,,,6941263900.189421,,,,,,,,,,,,,997620.5584942977,,,,,,
2024-09-25 00:00:00+00:00,,601043975.2709248,,,6941265309.485507,,,,,,,,,,,,,997498.9638049598,,,,,,
2024-09-26 00:00:00+00:00,,601767369.4242096,,,6942000000.0,,,,,,,,,,,,,997495.0322340804,,,,,,
2024-09-27 00:00:00+00:00,,598396295.2318805,,,6944856062.627646,,,,,,,,,,,,,996246.0175370312,,,,,,
2024-09-28 00:00:00+00:00,,593169165.5086313,,,7049697062.728168,,,,,,,,,,,,,998892.8747673102,,,,,,
2024-09-29 00:00:00+00:00,,598390314.2884605,,,6942000000.0,,,,,,,,,,,,,997484.2485454801,,,,,,
2024-09-30 00:00:00+00:00,,598387938.9709306,,,7185244635.033842,,,,,,,,,,,,,997481.6933311004,,,,,,
2024-10-01 00:00:00+00:00,,592978202.1210283,,,6942000000.0,,,,,,,,,,,,,995162.4780330687,,,,,,
2024-10-02 00:00:00+00:00,,590969893.4349295,,,6942000000.0,,,,,,,,,,,,,997834.8423756801,,,,,,
2024-10-03 00:00:00+00:00,,598375708.87974,,,6942000000.000001,,,,,,,,,,,,,997468.0322513498,,,,,,
2024-10-04 00:00:00+00:00,,598374321.5838906,,,6947432503.315663,,,,,,,,,,,,,1004929.9974546169,,,,,,
2024-10-05 00:00:00+00:00,,598370477.70842,,,6939500016.538879,,,,,,,,,,,,,997464.1309619101,,,,,,
2024-10-06 00:00:00+00:00,,598008814.9950073,,,6942000000.0,,,,,,,,,,,,,998431.2619221071,,,,,,
2024-10-07 00:00:00+00:00,,598368774.62426,,,6942000000.0,,,,,,,,,,,,,997463.28929551,,,,,,
2024-10-08 00:00:00+00:00,,592129627.0572536,,,6931599182.215663,,,,,,,,,,,,,997461.7503744798,,,,,,
2024-10-09 00:00:00+00:00,,596106910.3709563,,,6943307894.533909,,,,,,,,,,,,,989466.2344595465,,,,,,
2024-10-10 00:00:00+00:00,,598362549.3466505,,,6942000000.0,,,,,,,,,,,,,997461.0735495902,,,,,,
2024-10-11 00:00:00+00:00,,606136254.5857251,,,6944902211.4433975,,,,,,,,,,,,,997459.8736331402,,,,,,
2024-10-12 00:00:00+00:00,,596678695.8236412,,,6936082874.264875,,,,,,,,,,,,,999047.4980979238,,,,,,
2024-10-13 00:00:00+00:00,,598115714.9552519,,,6960914867.605171,,,,,,,,,,,,,997458.5144074903,,,,,,
2024-10-14 00:00:00+00:00,,598901698.0317031,,,6942000000.0,,,,,,,,,,,,,997457.3212347905,,,,,,
2024-10-15 00:00:00+00:00,,598354313.4271004,,,6946318399.161308,,,,,,,,,,,,,997444.3105187601,,,,,,
2024-10-16 00:00:00+00:00,,598351775.2926705,,,6952632151.749284,,,,,,,,,,,,,997443.0850840098,,,,,,
2024-10-17 00:00:00+00:00,,591964474.2665615,,,6823722480.569883,,,,,,,,,,,,,983436.6144054172,,,,,,
2024-10-18 00:00:00+00:00,,598349054.51057,,,6937999842.445027,,,,,,,,,,,,,997441.6609652701,,,,,,
2024-10-19 00:00:00+00:00,,596578145.6079632,,,6942000000.0,,,,,,,,,,,,,997439.5881194398,,,,,,
2024-10-20 00:00:00+00:00,,593414013.8122088,,,6936711175.793479,,,,,,,,,,,,,997438.2390514201,,,,,,
2024-10-21 00:00:00+00:00,,588706179.8767457,,,6942000000.003292,,,,,,,,,,,,,997435.4643481001,,,,,,
